category,url
Air Fryer Recipes,https://www.allrecipes.com/recipes/23070/everyday-cooking/cookware-and-equipment/air-fryer/
Allrecipes Allstar Recipes,https://www.allrecipes.com/recipes/16492/everyday-cooking/special-collections/allrecipes-allstars/
Angel Food Cakes,https://www.allrecipes.com/recipes/385/desserts/cakes/angel-food-cake/
Antipasti,https://www.allrecipes.com/recipes/102/appetizers-and-snacks/antipasto/
Appetizers and Snacks,https://www.allrecipes.com/recipes/76/appetizers-and-snacks/
Apple Pie,https://www.allrecipes.com/recipes/788/desserts/pies/apple-pie/
Applesauce,https://www.allrecipes.com/recipes/1333/side-dish/applesauce/
Artichoke Dips,https://www.allrecipes.com/recipes/14913/appetizers-and-snacks/dips-and-spreads/artichoke-dip/
Bagels,https://www.allrecipes.com/recipes/1537/bread/yeast-bread/bagels/
Baked Beans,https://www.allrecipes.com/recipes/1673/side-dish/beans-and-peas/baked-beans/
Banana Breads,https://www.allrecipes.com/recipes/343/bread/quick-bread/fruit-bread/banana-bread/
Bar Cookies,https://www.allrecipes.com/recipes/836/desserts/cookies/bar-cookies/
Beef Recipes,https://www.allrecipes.com/recipes/200/meat-and-poultry/beef/
Beef Stews,https://www.allrecipes.com/recipes/14730/soups-stews-and-chili/stews/beef/
Beef Stroganoff,https://www.allrecipes.com/recipes/17123/main-dish/beef/beef-stroganoff/
Beef Tenderloin,https://www.allrecipes.com/recipes/469/meat-and-poultry/beef/tenderloin/
Biscotti,https://www.allrecipes.com/recipes/837/desserts/cookies/biscotti/
Chowders,https://www.allrecipes.com/recipes/174/soups-stews-and-chili/chowders/
Christmas,https://www.allrecipes.com/recipes/187/holidays-and-events/christmas/
Christmas Cookies,https://www.allrecipes.com/recipes/841/holidays-and-events/christmas/desserts/christmas-cookies/
Cinnamon Rolls,https://www.allrecipes.com/recipes/1306/bread/pastries/cinnamon-rolls/
Cobblers,https://www.allrecipes.com/recipes/361/desserts/cobbler/
Cocktails,https://www.allrecipes.com/recipes/133/drinks/cocktails/
Coffee Cakes,https://www.allrecipes.com/recipes/389/desserts/cakes/coffee-cake/
Coleslaws,https://www.allrecipes.com/recipes/218/salad/coleslaw/
Comfort Food,https://www.allrecipes.com/recipes/16099/everyday-cooking/comfort-food/
Cookies,https://www.allrecipes.com/recipes/362/desserts/cookies/
Cooking for a Crowd,https://www.allrecipes.com/recipes/17662/everyday-cooking/cooking-for-a-crowd/
Cooking for One,https://www.allrecipes.com/recipes/15050/everyday-cooking/cooking-for-one/
Cooking for Two,https://www.allrecipes.com/recipes/476/everyday-cooking/cooking-for-two/
Copycat Recipes,https://www.allrecipes.com/recipes/17539/everyday-cooking/more-meal-ideas/copycat/
Cornbread,https://www.allrecipes.com/recipes/342/bread/quick-bread/cornbread/
Corned Beef,https://www.allrecipes.com/recipes/472/main-dish/beef/corned-beef/
Crab Cakes,https://www.allrecipes.com/recipes/1240/appetizers-and-snacks/seafood/crab/crab-cakes/
Crackers,https://www.allrecipes.com/recipes/16212/appetizers-and-snacks/snacks/crackers/
Cranberry Sauces,https://www.allrecipes.com/recipes/1260/side-dish/sauces-and-condiments/sauces/cranberry-sauce/
Creme Brulee,https://www.allrecipes.com/recipes/14444/desserts/custards-and-puddings/creme-brulee/
Crisps and Crumbles,https://www.allrecipes.com/recipes/15840/desserts/crisps-and-crumbles/
Cupcakes,https://www.allrecipes.com/recipes/377/desserts/cakes/cupcakes/
Danishes,https://www.allrecipes.com/recipes/16327/bread/pastries/danishes/
Desserts,https://www.allrecipes.com/recipes/79/desserts/
Deviled Eggs,https://www.allrecipes.com/recipes/110/appetizers-and-snacks/deviled-eggs/
Diabetic,https://www.allrecipes.com/recipes/739/healthy-recipes/diabetic/
Dinner,https://www.allrecipes.com/recipes/17562/dinner/
Divinity,https://www.allrecipes.com/recipes/752/desserts/candy/divinity/
Diwali,https://www.allrecipes.com/recipes/23278/holidays-and-events/diwali/
Doughnuts,https://www.allrecipes.com/recipes/355/bread/pastries/doughnuts/
Drop Cookies,https://www.allrecipes.com/recipes/16394/desserts/cookies/drop-cookies/
Dumplings,https://www.allrecipes.com/recipes/535/main-dish/dumplings/
Easter,https://www.allrecipes.com/recipes/188/holidays-and-events/easter/
Egg Rolls,https://www.allrecipes.com/recipes/16366/appetizers-and-snacks/wraps-and-rolls/egg-rolls/
Egg Salads,https://www.allrecipes.com/recipes/1986/salad/egg-salad/
Eggnog,https://www.allrecipes.com/recipes/141/drinks/eggnog/
Eggplant Parmesan,https://www.allrecipes.com/recipes/17635/main-dish/vegetable-main-dishes/eggplant-parmesan/
Empanadas,https://www.allrecipes.com/recipes/23131/appetizers-and-snacks/pastries/empanadas/
Enchiladas,https://www.allrecipes.com/recipes/1218/world-cuisine/latin-american/mexican/main-dishes/enchiladas/
Energy Balls,https://www.allrecipes.com/recipes/17800/appetizers-and-snacks/snacks/energy-balls/
English Muffins,https://www.allrecipes.com/recipes/17575/bread/yeast-bread/english-muffins/
Etouffee,https://www.allrecipes.com/recipes/1425/soups-stews-and-chili/stews/etouffee/
Fajitas,https://www.allrecipes.com/recipes/1220/world-cuisine/latin-american/mexican/main-dishes/fajitas/
Falafel,https://www.allrecipes.com/recipes/23250/everyday-cooking/vegetarian/main-dishes/beans-and-peas/falafel/
Father's Day,https://www.allrecipes.com/recipes/1641/holidays-and-events/fathers-day/
Fettuccini,https://www.allrecipes.com/recipes/501/pasta-and-noodles/pasta-by-shape/fettuccini/
Filet Mignon,https://www.allrecipes.com/recipes/1024/meat-and-poultry/beef/steaks/filet-mignon/
Flan,https://www.allrecipes.com/recipes/14445/desserts/custards-and-puddings/flan/
Flank Steak,https://www.allrecipes.com/recipes/1023/meat-and-poultry/beef/steaks/flank-steak/
Flat Iron Steak,https://www.allrecipes.com/recipes/17641/meat-and-poultry/beef/steaks/flat-iron-steak/
